Bonchamples-Laval (48.07379, -0.70195) 邦尚普勒-拉瓦尔
Boisde-Cene (46.93769, -1.8861) 博瓦德塞纳
Boisd'Arcy (48.79966, 2.02325) 博瓦达尔西
Boisd'Amont (46.5328, 6.1375) 博瓦达蒙
Boiscommun (48.03576, 2.38333) 博瓦科蒙
BoisColombes (48.91936, 2.27485) 博瓦科隆布
BoisBernard (50.38147, 2.91149) 博瓦贝尔纳尔
BoisArnault (48.81468, 0.7305) 博瓦阿尔诺
Boignysur-Bionne (47.93333, 2.01667) 博伊尼叙尔比翁
BohasMeyriat-Rignat (46.15971, 5.38854) 博阿梅里亚-里尼亚
Bohars (48.42917, -4.51424) 博阿尔
Bohal (47.78083, -2.43881) 博阿尔
Bohainen-Vermandois (49.9873, 3.453) 博海讷-韦尔芒杜瓦
Bogeve (46.19322, 6.42091) 博热夫
Boffres (44.92059, 4.703) 博夫尔
Boessele-Sec (48.13469, 0.56361) 博埃斯勒塞克
Boesse (46.97634, -0.47284) 博埃斯
Boeschepe (50.8, 2.7) 博舍普
Boersch (48.47656, 7.43998) 博尔施
Boensur-Lignon (45.75114, 4.00725) 博昂叙尔利尼翁
BoeilBezing (43.22154, -0.2667) 博埃伊贝赞
Boege (46.20711, 6.40428) 博热
Boe (44.1602, 0.6281) 博埃
Bodilis (48.52986, -4.11658) 博迪利斯
Boce (47.50678, -0.0821) 博塞
Le Bocasse (49.6, 1.08333) 勒博卡斯
Bobital (48.41356, -2.10421) 博比塔尔
Bobigny (48.90982, 2.45012) 博比尼
Blyes (45.84832, 5.25179) 布利耶
Blou (47.3625, -0.03735) 布卢
Blotzheim (47.6026, 7.49654) 布洛茨海姆
Blonvillesur-Mer (49.33709, 0.02709) 布隆维尔叙尔梅尔
Blond (46.04466, 1.01829) 布隆
Blois (47.59432, 1.32912) 布卢瓦
Blodelsheim (47.88538, 7.53635) 布洛德尔斯海姆
Blignysur-Ouche (47.10595, 4.66905) 布利尼叙尔乌什
Blignyles-Beaune (46.98631, 4.8262) 布利尼莱博讷
BliesGuersviller (49.14854, 7.08261) 布利耶斯格尔斯维勒
BliesEbersing (49.12355, 7.14523) 布利耶斯埃贝尔辛
Bliesbruck (49.11543, 7.18112) 布利耶斯布吕克
Bletterans (46.74673, 5.45444) 布莱特朗
Blet (46.89479, 2.73212) 布莱
Blessy (50.61639, 2.33182) 布莱西
Blessac (45.95896, 2.12533) 布莱萨克
Blesle (45.31882, 3.17052) 布莱勒
Blere (47.32738, 0.99186) 布莱尔
Blerancourt (49.51667, 3.15) 布莱朗库尔
Blenodles-Toul (48.59882, 5.83685) 布莱诺莱图尔
Blennes (48.25769, 3.02299) 布莱讷
Bleneau (47.7, 2.95) 布莱诺
Blendecques (50.71843, 2.28601) 布朗德克
Blayeles-Mines (44.03072, 2.13129) 布莱莱米讷
Blavozy (45.0572, 3.97993) 布拉沃齐
Blauzac (43.96305, 4.36749) 布劳扎克
Blausasc (43.80572, 7.36477) 布劳萨克
Blasimon (44.74917, -0.07442) 布拉西蒙
Blaru (49.04808, 1.4795) 布拉吕
Blaringhem (50.6911, 2.40321) 布拉林亨
Blanzy (46.70012, 4.38833) 布朗齐
Blanzay (46.20171, 0.25542) 布朗泽
