Cherato (19.62965, -102.35208) 切拉托
Castanos (26.78932, -101.43211) 卡斯塔诺斯
La Resolana (19.6052, -104.43433) 拉雷索拉纳
Casas Grandes (30.38269, -107.95628) 卡萨斯格兰德斯
Carrozas (20.48547, -102.73326) 卡罗萨斯
Carranco (21.82002, -101.09699) 卡兰科
Carmen (15.88642, 120.59984) 卡门
Carichi (27.91651, -107.05664) 卡里奇
Carapan (19.86003, -102.03644) 卡拉潘
Caracuaro (19.01966, -101.12494) 卡拉夸罗
Capulines (22.17657, -101.05056) 卡普利内斯
Capulin (20.47802, -103.26947) 卡普林
Capomos (25.41036, -108.12823) 卡波莫斯
El Capomal (21.83935, -105.12116) 埃尔卡波马尔
Capilla de Guadalupe (20.82739, -102.59185) 瓜达卢佩教堂
Capacuaro (19.54741, -102.05184) 卡帕夸罗
Capacho (19.96457, -101.23117) 卡帕乔
Caopas (24.78158, -102.17382) 卡奥帕斯
El Canutillo (26.37384, -108.62523) 埃尔卡努蒂略
Cantuna (23.6246, -103.3463) 坎图纳
Cantabria (19.83994, -101.72652) 坎塔布里亚
Canelas (41.08333, -8.6) 卡内拉斯
Condiro (20.4061, -102.54957) 孔迪罗
Canatlan (24.52576, -104.77327) 卡纳特兰
Cananea (30.98699, -110.29062) 卡纳内亚
Canada Verde (23.07629, -101.10398) 绿峡谷
Canada Honda (22.00683, -102.19747) 本田峡谷
Canada de Ramirez (20.29637, -101.9636) 拉米雷斯峡谷
Canada de Negros (20.92636, -101.92115) 内格罗斯峡谷
Canada de Caracheo (20.37552, -100.94549) 卡拉切奥峡谷
Campuzano (20.91565, -101.14035) 坎普萨诺
Mora Villalobos (27.51145, -110.0561) 莫拉维拉洛沃斯
Campo Morado (17.58277, -100.18185) 莫拉多营地
Colonia Michoacana (24.72476, -107.63201) 米却肯殖民地
Campo Carretero (30.77154, -110.8538) 卡雷特罗营地
Campo Balbuena (24.74688, -107.54975) 巴尔布埃纳营地
Campo Acosta (19.77061, -105.24917) 阿科斯塔营地
Camichin de Jauja (21.46532, -104.8008) 豪哈的卡米钦
Camichinas (20.49983, -103.80056) 卡米奇纳斯
Camajoa (25.98806, -108.85611) 卡马霍亚
Estacion Camacho (24.44038, -102.37283) 卡马乔站
Calvillo (21.84583, -102.71849) 卡尔维略
Caltzontzin (19.4234, -102.00673) 卡尔宗辛
La Cal Grande (20.34365, -101.94381) 拉卡尔格兰德
Victor Rosales (22.94889, -102.70222) 维克多罗萨莱斯
Caleras (18.99687, -103.87898) 卡莱拉斯
Calderones (-14.15713, -75.70097) 卡尔德罗内斯
La Calaverna (20.88632, -101.36256) 拉卡拉韦尔纳
Calamanda (20.54672, -100.18616) 卡拉曼达
Ejido Patria (20.87112, -100.16976) 帕特里亚集体农场
Cajurichic (28.09971, -108.13675) 卡胡里奇克
Cajititlan (20.43174, -103.3094) 卡希蒂特兰
Caitime (25.33528, -107.95333) 卡伊蒂梅
Estacion Chimaneco (24.9543, -107.74913) 奇马内科站
Cacalutla (17.12433, -100.35038) 卡卡卢特拉
Cacaluta (20.1657, -103.48411) 卡卡卢塔
Cacalotan (23.06779, -105.84194) 卡卡洛坦
Buiyacusi (27.14823, -109.42823) 布亚库西
Buenavista Tomatlan (19.21281, -102.58735) 布埃纳维斯塔托马特兰
Buena Fe (30.36402, -107.92386) 布埃纳费
El Huinacaxtle (24.38361, -107.29222) 埃尔维纳卡斯特莱
Bucerias (20.75626, -105.33438) 布塞里亚斯
Bucareli (25.66334, -103.53515) 布卡雷利
Brittingham (25.75796, -103.56952) 布里廷厄姆
