Umm Salmunah (31.64457, 35.16674) 翁萨尔穆纳
Jamma'in (32.13164, 35.20403) 贾马因
Jalqamus (32.42464, 35.36421) 贾尔卡穆斯
Jalbun (32.45957, 35.41516) 贾尔本
Al Jalamah (32.50821, 35.31317) 阿尔贾拉马
Jaba' (32.32409, 35.22133) 贾巴
'Aslah (32.17326, 35.03551) 阿斯拉
Iskaka (32.10361, 35.22472) 伊斯卡卡
'Iraq Burin (32.20081, 35.24159) 伊拉克布林
Immatin (32.19164, 35.15836) 伊马廷
'Immanu'el (32.16075, 35.13611) 伊曼努尔
'Illar (32.37024, 35.10708) 伊拉尔
Iktabah (32.3266, 35.05262) 伊克塔巴
Idhna (31.55874, 34.97436) 伊德纳
Huwwarah (32.15224, 35.25673) 胡瓦拉
Husan (31.70931, 35.13475) 胡桑
Hizma (31.83337, 35.26315) 希兹马
Hinnanit (32.47999, 35.17357) 希纳尼特
Haris (32.11424, 35.14192) 哈里斯
Har Gillo (31.72119, 35.1724) 哈尔吉洛
Hallamish (32.004, 35.12372) 哈拉米什
Halhul (31.58029, 35.10178) 哈尔胡尔
Hajjah (15.69425, 43.60582) 哈贾
Hablah (32.16523, 34.97748) 哈布拉
Far'un (32.28613, 35.02326) 法尔恩
Farkhah (32.06878, 35.15286) 法尔哈
Far'ata (32.19072, 35.16605) 法尔阿塔
Faqqu'ah (32.48998, 35.40163) 法库阿
Falamyah (32.22498, 35.02291) 法拉米亚
Fahmah (32.38291, 35.17912) 法赫马
'Ez Efrayim (32.11985, 35.04705) 埃兹埃弗拉伊姆
Elqana (32.11012, 35.03233) 埃尔卡纳
Efrata (31.65305, 35.15013) 埃夫拉塔
Dura al Qar' (31.95863, 35.22714) 杜拉阿尔卡尔
Dura (31.50777, 35.02929) 杜拉
Dhannabah (32.31341, 35.04144) 达纳巴
Dayr Sharaf (32.25326, 35.18893) 戴尔沙拉夫
Dayr Qiddis (31.94862, 35.04437) 戴尔基迪斯
Dayr Nizam (32.00282, 35.11437) 戴尔尼扎姆
Dayr Jarir (31.96636, 35.29261) 戴尔贾里尔
Dayr Istiya (32.13096, 35.13963) 戴尔伊斯蒂亚
Dayr Ibzi' (31.91727, 35.12105) 戴尔伊布齐
Dayr Ghazalah (32.49586, 35.35104) 戴尔加扎拉
Dayr Dibwan (31.91112, 35.26661) 戴尔迪布万
Dayr Ballut (32.06551, 35.02451) 戴尔巴鲁特
Dayr as Sudan (32.03213, 35.14845) 戴尔阿斯苏丹
Dayr al Hatab (32.21734, 35.32127) 戴尔阿尔哈塔布
Dayr al Ghusun (32.35244, 35.07689) 戴尔阿尔古苏恩
Dayr Abu Mash'al (31.99881, 35.06844) 戴尔阿布马沙尔
Dayr Abu Da'if (32.45601, 35.36164) 戴尔阿布达伊夫
