Gamstaedt (50.949, 10.88504) 甘斯塔特
Friedrichshafen (47.65689, 9.47554) 弗里德里希港
Friedrichsgraben (54.26667, 9.41667) 弗里德里希斯格拉本
Friedrichsgabekoog (54.15, 8.95) 弗里德里希斯加贝科格
Friedrichsfelde (52.50575, 13.50812) 弗里德里希斯费尔德
Friedrichsbrunn (51.69028, 11.03737) 弗里德里希斯布伦
Friedrichroda (50.85754, 10.56507) 弗里德里希罗达
Friedland (51.41917, 9.91762) 弗里德兰
Gemeinde Friedland (51.41667, 9.93333) 弗里德兰市镇
Friedewald (50.88333, 9.86667) 弗里德瓦尔德
Friedersdorf (51.64809, 12.36555) 弗里德斯多夫
Friedenweiler (47.91778, 8.25627) 弗里登魏勒
Friedenfels (49.8826, 12.10124) 弗里登费尔斯
Friedenau (52.47133, 13.32813) 弗里德瑙
Friedelsheim (49.44694, 8.22306) 弗里德尔斯海姆
Friedelshausen (50.65781, 10.23668) 弗里德尔斯豪森
Friedeburg (53.45, 7.83333) 弗里德堡
