Grabovac (44.60049, 20.08539) - 格拉博瓦茨
Sveti Filip i Jakov (43.96472, 15.43) - 斯韦蒂·菲利普·雅科夫
Fericanci (45.52889, 17.97583) - 费里昌齐
Ferdinandovac (46.06054, 17.19187) - 费迪南多瓦茨
Fazana (44.92742, 13.80349) - 法扎纳
Ervenik (44.10924, 15.94139) - 埃尔韦尼克
Ernestinovo (45.45194, 18.65917) - 埃尔内斯蒂诺沃
Erdut (45.52639, 19.06028) - 埃尔杜特
Eminovci (45.35667, 17.73056) - 埃米诺夫齐
Dvor (45.07032, 16.37753) - 德沃尔
Durmanec (46.19639, 15.84083) - 杜尔马内茨
GJurgevac (46.04111, 17.06972) - 久尔杰瓦茨
Durgenovac (45.54333, 18.04583) - 杜尔杰诺瓦茨
Durgekovec (45.87746, 16.11746) - 杜尔杰科韦茨
Dunjkovec (46.39, 16.37361) - 杜尼科韦茨
Dumovec (45.80345, 16.15728) - 杜莫韦茨
Dugo Selo (45.80611, 16.24444) - 杜戈·塞洛
Dugopolje (43.58056, 16.60278) - 杜戈波列
Dugi Rat (43.44611, 16.63972) - 杜吉·拉特
Duga Resa (45.44614, 15.49871) - 杜加·雷萨
Duce (43.44278, 16.66833) - 杜采
Dubrovnik (42.64125, 18.10909) - 杜布罗夫尼克
Dubrovcan (46.05203, 15.80014) - 杜布罗夫坎
Dubravice (43.85306, 15.93889) - 杜布拉维采
Hrvatska Dubica (45.19111, 16.80028) - 克罗地亚·杜比察
Druzbinec (46.35028, 16.22472) - 德鲁兹比内茨
Drnje (46.20694, 16.91694) - 德尔涅
Drnis (43.8625, 16.15556) - 德尔尼斯
Novo Virje (46.09139, 17.15167) - 诺沃·维尔耶
Drenovci (44.92056, 18.91222) - 德雷诺夫齐
Drenova (45.35, 14.43028) - 德雷诺瓦
Drenje (45.38111, 18.28194) - 德雷涅
Draz (45.84222, 18.78861) - 德拉兹
Draganici (45.6, 15.6) - 德拉加尼奇
Dragalic (45.24417, 17.28861) - 德拉加利奇
Zemunik Donji (44.10667, 15.38056) - 泽穆尼克·多尼
Donji Vidovec (46.32917, 16.78667) - 多尼·维多韦茨
Donji Seget (43.51667, 16.23333) - 多尼·塞格特
Donji Prolozac (43.46972, 17.15639) - 多尼·普罗洛扎茨
Donji Muc (43.69444, 16.46224) - 多尼·穆奇
Donji Miholjac (45.76083, 18.16722) - 多尼·米霍利亚茨
Donji Mihaljevec (46.33528, 16.71444) - 多尼·米哈列韦茨
Donji Lapac (44.55306, 15.96194) - 多尼·拉帕茨
Donji Laduc (45.88333, 15.73333) - 多尼·拉杜茨
Donji Kucan (46.28028, 16.39361) - 多尼·库坎
Donji Kraljevec (46.36734, 16.64936) - 多尼·克拉列韦茨
Donji Kneginec (46.25944, 16.38444) - 多尼·克内吉内茨
Donji Dragonozec (45.66194, 15.94694) - 多尼·德拉戈诺泽茨
Donji Desinec (45.68222, 15.70889) - 多尼·德西内茨
Donji Daruvar (45.61361, 17.23083) - 多尼·达鲁瓦尔
Donji Andrijevci (45.18833, 18.29972) - 多尼·安德里耶夫齐
Petrcane (44.18556, 15.16556) - 佩特尔查内
Donje Ladanje (46.30343, 16.16904) - 多涅·拉达涅
Donja Zelina (45.9096, 16.23024) - 多尼亚·泽利纳
