Netiv Ha'Asara (31.57201, 34.53955) 内提夫哈阿萨拉
Kiryat Ono (32.06124, 34.85618) 基里亚特奥诺
Umm Batin (31.27735, 34.88246) 乌姆巴廷
AlSayid Tribe (31.28252, 34.91505) 阿尔赛义德部落
Bir Hadaj (31.02416, 34.70857) 比尔哈达吉
BinyaminaGiv'at Ada (32.51824, 34.95398) 比尼亚米纳吉瓦特阿达
Drijat (31.30069, 35.07632) 德里贾特
YanuhJat (32.98515, 35.2491) 亚努哈贾特
Tirabin alSana (31.34479, 34.73867) 提拉宾阿尔萨纳
ShibliUmm al-Ghanam (32.68395, 35.39621) 希布利乌姆阿尔加纳姆
Basma (32.52904, 35.10059) 巴斯马
Santon (54.11667, -4.58333) 桑顿
Port Saint Mary (54.07405, -4.73858) 圣玛丽港
Port Erin (54.08487, -4.75099) 埃林港
Peel (54.22209, -4.69099) 皮尔
Patrick (54.20447, -4.69417) 帕特里克
Onchan (54.17329, -4.45324) 恩坎
Maughold (54.29877, -4.31844) 莫尔德
Lezayre (54.31667, -4.41667) 莱泽尔
Laxey (54.23017, -4.39985) 拉克西
