Moeche (43.55, -8.01667) 莫埃切
Mazarete (41.00086, -2.15921) 马萨雷特
Mazaleon (41.05056, 0.1029) 马萨莱翁
Mayorga (10.9, 125) 马约尔加
Maials (41.36667, 0.5) 马亚尔斯
Mayalde (41.2508, -5.79767) 马亚尔德
Matute (42.29888, -2.79564) 马图特
Matillas (40.94415, -2.8359) 马蒂利亚斯
Matilla la Seca (41.57935, -5.5003) 拉塞卡的马蒂利亚
Matilla de los Canos (41.54818, -4.96761) 洛斯卡尼奥斯的马蒂利亚
Matilla de Arzon (42.10499, -5.64156) 阿尔松的马蒂利亚
Matarrubia (40.86463, -3.28944) 马塔鲁比亚
Mataro (41.54211, 2.4445) 马塔罗
Matapozuelos (41.41423, -4.79122) 马塔波苏埃洛斯
Mataporquera (42.87486, -4.16276) 马塔波尔克拉
Matamala de Almazan (41.50563, -2.64122) 阿尔马桑的马塔马拉
Matallana de Torio (42.8656, -5.52034) 托里奥的马塔利亚纳
Matalebreras (41.84116, -2.04644) 马塔莱夫雷拉斯
Matadepera (41.59886, 2.02648) 马塔德佩拉
Mata de Cuellar (41.39655, -4.47167) 库埃利亚尔的马塔
Matabuena (41.0959, -3.75827) 马塔布埃纳
Masueco (41.20352, -6.58938) 马苏埃科
Macanet de la Selva (41.78333, 2.73333) 塞尔瓦的马萨内特
Macanet de Cabrenys (42.38597, 2.74806) 卡布雷尼的马萨内特
Massanes (41.76536, 2.65324) 马萨内斯
el Masroig (41.13333, 0.73333) 马斯罗伊格
Masquefa (41.50353, 1.81136) 马斯克法
