Telolotla (20.21306, -97.91167) 特洛洛特拉
Milpoleta (16.7725, -92.66083) 米尔波莱塔
Barra Vieja (16.69139, -99.62667) 老沙洲
La Manzana Uno (20.20139, -98.90972) 苹果一号
Barrio el Lindero (19.72944, -99.70972) 林德罗区
San Jose de la Presa (20.61111, -100.75222) 圣何塞德拉普雷萨
Corral Grande (18.92889, -98.97028) 大围栏
Huanal (17.30556, -92.72278) 华纳尔
Canton de Guerrero (18.23056, -100.54194) 格雷罗区
Atlamaxatl (21.31083, -98.82528) 阿特拉马克萨特尔
Jolitontic (17.04833, -92.63861) 霍利通蒂克
Modelo (El Zapotal) (16.83917, -92.92778) 模型（萨波塔尔）
Necaxaltepetl (20.23502, -97.99634) 内卡萨尔特佩特尔
Huehueymico (19.84111, -97.33167) 韦韦米科
Xaltianquisco (19.37, -98.08194) 沙尔蒂安基斯科
Ejido Figueroa (25.68, -108.65556) 埃希多菲格罗亚
Norias de Guadalupe (22.27, -102.01167) 瓜达卢佩的诺里亚斯
Los Moreno (22.25361, -101.00556) 洛斯莫雷诺
El Ramillete (21.04, -101.76722) 小花束
Higueral (20.955, -97.49889) 无花果园
El Tezal (22.90417, -109.89167) 特萨尔
La Cascada (17.37111, -91.80417) 瀑布
Barrio la Cuesta (19.49472, -99.33639) 拉奎斯塔区
Cutzato (Cuisato) (19.36611, -102.13472) 库察托（库伊萨托）
Huazamota (22.525, -104.49667) 瓦萨莫塔
Ejido de Atotonilco (19.70028, -99.85083) 阿托托尼尔科埃希多
Tepepan (19.83285, -97.38221) 特佩潘
