Leon Guzman (25.49986, -103.65924) 莱昂·古斯曼
La Rivera (23.59458, -109.58523) 拉·里韦拉
La Reserva (21.08009, -101.74519) 拉·雷塞尔瓦
La Regina (28.40828, -105.44817) 拉·雷吉纳
Queseria (19.38708, -103.57243) 克塞里亚
Quesera de Cortes (20.39802, -102.01926) 克塞拉·德·科尔特斯
Ejido La Quemada (28.84761, -107.02152) 埃希多·拉·克马达
La Quemada (20.97127, -104.04914) 拉·克马达
Purisima (25.68038, -103.32218) 普里西玛
La Popular (25.67951, -103.46621) 拉·波普拉尔
La Polvora (22.92989, -100.33831) 拉·波尔沃拉
La Pinta (25.90281, -103.26476) 拉·平塔
La Pichihuila (25.54002, -108.30399) 拉·皮奇胡伊拉
La Paz de Ordaz (20.34489, -102.53059) 拉·帕斯·德·奥尔达斯
Villa de la Paz (23.67616, -100.71167) 维拉·德·拉·帕斯
La Partida (25.59181, -103.29994) 拉·帕尔蒂达
La Orilla (17.99583, -102.22694) 拉·奥里利亚
La Ordena (20.68988, -101.1183) 拉·奥尔德纳
La Ochoa (24.02341, -103.914) 拉·奥乔亚
La Noria de Gallegos (20.33588, -100.78506) 拉·诺里亚·德·加列戈斯
La Negreta (20.52647, -100.45053) 拉·内格雷塔
Lampazos de Naranjo (27.02554, -100.50512) 兰帕索斯·德·纳兰霍
La Morena (23.36619, -100.32077) 拉·莫雷纳
La Monja (20.84275, -100.49754) 拉·蒙哈
La Moncada (20.28348, -100.80502) 拉·蒙卡达
La Mesa de Flores (21.18653, -104.09046) 拉·梅萨·德·弗洛雷斯
La Melada (22.47543, -100.96912) 拉·梅拉达
La Mazata (20.87971, -104.08883) 拉·马萨塔
La Manzanilla (19.28133, -104.78771) 拉·曼萨尼利亚
Mantequilla (22.42867, -100.88011) 曼特基利亚
La Lobena (22.29204, -101.70098) 拉·洛贝纳
La Lira (20.47554, -100.16145) 拉·利拉
Lima de Abajo (21.10135, -105.19725) 利马·德·阿巴霍
Labor de Valtierra (20.48872, -101.25334) 拉博尔·德·瓦尔蒂耶拉
La Laborcita (21.10636, -101.5517) 拉·拉博尔西塔
Ejido la Joya (21.14325, -101.73922) 埃希多·拉·霍亚
La Huacana (18.96312, -101.8072) 拉·瓦卡纳
La Hincada (22.65912, -100.10696) 拉·因卡达
La Higuera (19.42354, -103.40971) 拉·伊格拉
La Higuerita (21.90033, -105.54415) 拉·伊格里塔
Ejido Lagunitas (32.31956, -114.89568) 埃希多·拉古尼塔斯
Laguna Prieta (20.21746, -101.34709) 拉古纳·普里埃塔
Laguna de Lourdes (20.47918, -100.04873) 拉古纳·德·卢尔德斯
Laguna de Guadalupe (21.80046, -101.35689) 拉古纳·德·瓜达卢佩
Laguna Colorada (24.68116, -107.3097) 拉古纳·科洛拉达
La Griega (20.66642, -100.24012) 拉·格里加
Lagos de Moreno (21.35666, -101.93768) 拉戈斯·德·莫雷诺
La Goma (25.4846, -103.68884) 拉·戈马
La Goleta (19.73904, -101.08127) 拉·戈莱塔
