Morra de Sanctis (40.92902, 15.24285) 莫拉德桑克蒂斯
Montesilvano Marina (42.5114, 14.14507) 蒙特西尔瓦诺马里纳
Montesegale (44.90696, 9.12636) 蒙特塞加莱
Montese (44.26993, 10.94545) 蒙泰塞
Montescudo (43.91753, 12.54083) 蒙特斯库多
Montescaglioso (40.55024, 16.66541) 蒙特斯卡廖索
Montesarchio (41.06227, 14.64096) 蒙特萨尔基奥
Monte San Vito (43.60056, 13.26817) 圣维托山
Monte Sant'Angelo (41.7053, 15.96068) 圣安杰洛山
Monte San Savino (43.33213, 11.72663) 圣萨维诺山
Monte San Martino (43.03219, 13.44033) 圣马蒂诺山
Monte San Giusto (43.23565, 13.59316) 圣朱斯托山
Monte San Giacomo (40.34411, 15.54221) 圣贾科莫山
Monte San Biagio (41.3536, 13.35184) 圣比亚焦山
Monterubiaglio (42.76667, 12.01667) 蒙特鲁比亚廖
Monterubbiano (43.0856, 13.71911) 蒙特鲁比亚诺
Monterotondo (42.05159, 12.61969) 蒙特罗通多
Monterosso al Mare (44.14666, 9.65494) 海滨蒙特罗索
Monterosi (42.19698, 12.30842) 蒙特罗西
Monteroni di Lecce (40.31929, 18.09163) 莱切的蒙特罗尼
Monteroni d'Arbia (43.22968, 11.42228) 阿尔比亚的蒙特罗尼
Monte Romano (42.26745, 11.89658) 蒙特罗马诺
Monteroduni (41.5224, 14.17641) 蒙特罗杜尼
Monte Roberto (43.48056, 13.13797) 蒙特罗伯托
Monte Rinaldo (43.02825, 13.58198) 蒙特里纳尔多
Monteriggioni (43.38994, 11.22323) 蒙特里久尼
Monterenzio (44.32632, 11.40446) 蒙特伦齐奥
Montereale (42.52332, 13.24585) 蒙特雷亚莱
Monterchi (43.48733, 12.11054) 蒙特尔基
Monterappoli (43.67931, 10.94262) 蒙特拉波利
Monterado (43.69686, 13.09056) 蒙特拉多
Montepulciano (43.09998, 11.78704) 蒙特普尔恰诺
Monteprandone (42.9205, 13.8391) 蒙特普兰多内
Monte Porzio Catone (41.81585, 12.71432) 蒙特波尔齐奥卡托内
Montepiano (44.09067, 11.16009) 蒙特皮亚诺
Montepastore (44.36815, 11.12337) 蒙特帕斯托雷
Monteparano (40.44335, 17.41308) 蒙特帕拉诺
Montepagano (42.67682, 13.98966) 蒙特帕加诺
Monteombraro (44.38333, 11) 蒙特翁布拉罗
Monteodorisio (42.08485, 14.65386) 蒙特奥多里西奥
Montenerodomo (41.97682, 14.25177) 蒙特内罗多莫
Montemurro (40.29765, 15.99182) 蒙特穆罗
Montemurlo (43.92686, 11.03718) 蒙特穆尔洛
Montemonaco (42.89871, 13.33018) 蒙特莫纳科
Montemitro (41.88813, 14.64666) 蒙特米特罗
