Crissolo (44.69953, 7.15602) 克里索洛
Costarainera (43.85477, 7.94106) 科斯塔雷内拉
Costanzana (45.23742, 8.36943) 科斯坦扎纳
Costano (43.0442, 12.5341) 科斯塔诺
Costa di Rovigo (45.05181, 11.6956) 科斯塔迪罗维戈
Costa di Mezzate (45.66278, 9.79556) 科斯塔迪梅扎泰
Costacciaro (43.35866, 12.71262) 科斯塔恰罗
Costabissara (45.58252, 11.48529) 科斯塔比萨拉
Cossombrato (44.98976, 8.13897) 科索姆布拉托
Cossoine (40.43068, 8.71578) 科索伊内
Cossignano (42.98355, 13.69026) 科西尼亚诺
Cossato (45.57032, 8.18471) 科萨托
Coseano (46.09636, 13.02028) 科塞亚诺
Corvaro (42.20538, 13.26496) 科尔瓦罗
Corvara in Badia (46.55037, 11.87342) 科尔瓦拉因巴迪亚
Corvara (42.27511, 13.87363) 科尔瓦拉
Cortona (43.27467, 11.98533) 科尔托纳
Cortina d'Ampezzo (46.5369, 12.13903) 科尔蒂纳丹佩佐
Cortiglione (44.82225, 8.35796) 科尔蒂廖内
Corticelle Pieve (45.42373, 10.12042) 科尔蒂切莱皮耶韦
Corteolona (45.15787, 9.37215) 科尔特奥洛纳
Cortemilia (44.58044, 8.19367) 科尔特米利亚
Cortemaggiore (44.99185, 9.92844) 科尔特马焦雷
Corte Franca (45.62998, 9.98846) 科尔特弗兰卡
Corte de' Cortesi (45.27265, 10.00738) 科尔特德科尔泰西
Cortazzone (44.97915, 8.06123) 科尔塔佐内
Cortanze (45.01404, 8.08879) 科尔坦泽
Cortandone (44.95915, 8.05843) 科尔坦多内
Corsico (45.43099, 9.11093) 科尔西科
Corropoli (42.8272, 13.83471) 科罗波利
Corridonia (43.24677, 13.5069) 科里多尼亚
Correzzola (45.23548, 12.06739) 科雷佐拉
Correggio (44.76737, 10.78345) 科雷焦
Corpolo (44.01905, 12.45266) 科尔波洛
Coronella (44.80232, 11.52323) 科罗内拉
Cornuda (45.83152, 12.00598) 科尔努达
Corno Giovine (45.13415, 9.75766) 科尔诺乔维内
Corno di Rosazzo (45.9911, 13.44368) 科尔诺迪罗萨佐
Corniglio (44.47425, 10.09009) 科尔尼廖
Cornegliana (45.30254, 11.85313) 科尔内利亚纳
Cornedo Vicentino (45.61626, 11.33225) 科尔内多维琴蒂诺
Cornate d'Adda (45.62811, 9.47378) 科尔纳泰达达
Cornaredo (45.50128, 9.02681) 科尔纳雷多
Cornale (45.04344, 8.91096) 科尔纳莱
Cornalba (45.84927, 9.74593) 科尔纳尔巴
Cornaiano (46.46329, 11.28115) 科尔奈亚诺
Cormons (45.95531, 13.46683) 科尔蒙斯
Cormano (45.54917, 9.15964) 科尔马诺
Corleto Perticara (40.38214, 16.03917) 科尔莱托佩尔蒂卡拉
Corleto Monforte (40.43756, 15.38013) 科尔莱托蒙福尔泰
Corinaldo (43.64107, 13.06004) 科里纳尔多
Corigliano d'Otranto (40.15925, 18.25598) 科里利亚诺多特兰托
Coriano (43.96907, 12.60055) 科里亚诺
Cori (41.64358, 12.91121) 科里
Corgeno (45.74588, 8.68797) 科尔杰诺
Corfinio (42.12149, 13.8394) 科尔菲尼奥
Corese Terra (42.16995, 12.71085) 科雷塞泰拉
Coredo (46.34906, 11.09001) 科雷多
Cordovado (45.84425, 12.88537) 科尔多瓦多
Cordignano (45.94936, 12.41567) 科尔迪尼亚诺
Cordenons (45.9836, 12.70038) 科尔德农斯
Corcolle (41.90421, 12.73654) 科尔科莱
Corciano (43.12821, 12.28684) 科尔恰诺
Corchiano (42.34495, 12.35688) 科尔基亚诺
Corbola (45.00272, 12.08567) 科尔博拉
