Ayegui (42.65656, -2.03934) 艾耶圭
Arruazu (42.92186, -2.00157) 阿鲁阿苏
Arroyomolinos (40.26951, -3.91946) 阿罗约莫利诺斯
Arroniz (42.58823, -2.09237) 阿罗尼兹
Arrigorriaga (43.21006, -2.88562) 阿里戈里亚加
Arredondo (43.27325, -3.60031) 阿雷东多
Arraya de Oca (42.41488, -3.39781) 奥卡的阿拉亚
Arrancacepas (40.3032, -2.35899) 阿兰卡塞帕斯
Arrabalde (42.1076, -5.89441) 阿拉瓦尔德
Arquillinos (41.7099, -5.65708) 阿尔基利诺斯
Arnuero (43.47756, -3.56959) 阿尔努埃罗
Arnes (60.12237, 11.47005) 阿尔内斯
Arnedo (42.228, -2.10083) 阿尔内多
Arnedillo (42.21221, -2.23602) 阿尔内迪略
Armuna de Tajuna (40.52884, -3.02819) 塔胡纳的阿尔穆纳
Armuna (41.07715, -4.31949) 阿尔穆纳
Arminon (42.72313, -2.87172) 阿尔米农
Armenteros (40.5932, -5.44806) 阿尔门特罗斯
l'Armentera (42.17153, 3.07439) 阿尔门特拉
Armananzas (42.55963, -2.28476) 阿尔马南萨斯
Armallones (40.7358, -2.30257) 阿尔马略内斯
Arlanzon (42.32267, -3.45784) 阿兰松
Ariza (41.31442, -2.05332) 阿里萨
Aribe (42.95, -1.25) 阿里贝
Arino (45.43854, 12.05443) 阿里诺
Arija (42.9935, -3.94497) 阿里哈
Aria (37.57372, 22.83539) 阿里亚
Argujillo (41.31156, -5.58763) 阿尔古希略
Arguis (42.31476, -0.43967) 阿尔吉斯
Arguedas (42.17759, -1.59719) 阿尔格达斯
Argonos (43.4574, -3.49013) 阿尔戈诺斯
Argentona (41.55336, 2.40114) 阿尔亨托纳
Argente (40.68841, -1.16217) 阿尔亨特
Argelita (40.05, -0.35) 阿尔赫利塔
Argelaguer (42.21563, 2.64193) 阿尔赫拉盖尔
Argecilla (40.88151, -2.82181) 阿尔赫西利亚
Argavieso (42.05275, -0.27834) 阿尔加维耶索
Arganza (42.64077, -6.68627) 阿尔甘萨
Arganin (41.43948, -6.20827) 阿尔加宁
Arganda (40.30076, -3.43722) 阿尔甘达
Arevalo de la Sierra (41.94723, -2.40033) 拉谢拉的阿雷瓦洛
Arevalo (41.06255, -4.72042) 阿雷瓦洛
Arevalillo de Cega (41.16174, -3.88911) 塞加的阿雷瓦利略
Areso (43.08209, -1.95198) 阿雷索
Ares del Maestre (40.45675, -0.13267) 马埃斯特雷的阿雷斯
Arenzana de Arriba (42.38745, -2.69494) 阿里瓦的阿伦萨纳
Arenzana de Abajo (42.38599, -2.7194) 阿巴霍的阿伦萨纳
Arenys de Munt (41.61424, 2.53972) 蒙特的阿伦尼斯
Arenys de Mar (41.5819, 2.54936) 马尔的阿伦尼斯
Arenillas (41.34706, -2.84618) 阿雷尼利亚斯
Arenas de San Pedro (40.21041, -5.08694) 圣佩德罗的阿雷纳斯
Arenas de Iguna (43.18293, -4.04729) 伊古纳的阿雷纳斯
Arellano (21.80106, -102.27384) 阿雷利亚诺
Aretxabaleta (43.03414, -2.50456) 阿雷查瓦莱塔
Arcos de la Sierra (40.34664, -2.1131) 拉谢拉的阿尔科斯
Arcos de Jalon (41.21592, -2.2747) 哈隆的阿尔科斯
Arcones (41.11817, -3.72384) 阿尔科内斯
Arconada (42.32774, -4.49617) 阿尔科纳达
Arcicollar (40.05517, -4.11638) 阿尔西科利亚尔
Arcenillas (41.45641, -5.68512) 阿尔塞尼利亚斯
Arcediano (41.09379, -5.56055) 阿尔塞迪亚诺
Arbucies (41.81667, 2.51667) 阿尔布西耶斯
