Sierra de Luna (42.04818, -0.91025) - 月亮山脉
Santervas de Campos (42.2182, -5.10027) - 坎波斯的桑特尔瓦斯
Santed (41.03172, -1.51028) - 桑特德
Santa Susanna (41.63333, 2.71667) - 圣苏珊娜
Santas Martas (42.4322, -5.37066) - 圣玛尔塔斯
Santa Pau (42.1443, 2.57123) - 圣保
Santa Oliva (41.25357, 1.55086) - 圣奥利瓦
Santa Olalla (40.02348, -4.43025) - 圣奥拉利亚
Santander (43.46472, -3.80444) - 桑坦德
Santa Marina del Rey (42.51334, -5.86065) - 国王的圣玛丽娜
Santa Maria de Sando (40.97909, -6.12904) - 桑多的圣玛丽亚
Santa Maria de Ordas (42.72653, -5.82301) - 奥尔达斯的圣玛丽亚
