Huettendorf (48.55, 16.53333) - 惠滕多夫
Heissingfelding (47.16451, 13.11197) - 海辛费尔丁
Heiligenkreuz (48.05559, 16.12493) - 海利根克罗伊茨
Heiligeneich (48.29964, 15.89413) - 海利根艾希
Heiligenbrunn (47.02705, 16.41688) - 海利根布伦
Heiligenblut (47.03979, 12.84345) - 海利根布卢特
Heidenreichstein (48.86667, 15.11667) - 海登赖希施泰因
Hautzendorf (46.98333, 15.4) - 豪岑多夫
Hausmening (48.07074, 14.81438) - 豪斯梅宁
Hausmannstaetten (46.99111, 15.51139) - 豪斯曼施泰滕
Hausmanning (47.91295, 14.12348) - 豪斯曼宁
Hausleiten (48.38333, 16.1) - 豪斯莱滕
Hauskirchen (48.61324, 16.75872) - 豪斯基尔兴
Hausbrunn (48.62602, 16.82844) - 豪斯布伦
Haus (47.40997, 13.76724) - 豪斯
Haunoldstein (48.2, 15.45) - 豪诺尔德施泰因
Haugsdorf (48.70762, 16.07656) - 豪格斯多夫
Haugschlag (48.98333, 15.05) - 豪格施拉格
Hatzendorf (46.97686, 16.00107) - 哈岑多夫
Hatting (55.85295, 9.76948) - 哈廷
Haslau an der Donau (48.11667, 16.71667) - 哈斯劳安德多瑙
Haslach an der Muehl (48.5757, 14.03984) - 哈斯拉赫安德米尔
Haeselgehr (47.31667, 10.5) - 海瑟尔格尔
Haselbach (48.25308, 13.05614) - 哈塞尔巴赫
Haschendorf (47.8878, 16.34225) - 哈申多夫
Hartmannsdorf (50.88635, 12.79904) - 哈特曼斯多夫
Hartl (47.18333, 15.91667) - 哈特尔
