El Cotillo (28.68264, -14.00637) 埃尔科蒂略
el Bon Pastor (41.437, 2.20182) 埃尔邦帕斯托尔
Canyelles (41.44509, 2.16346) 卡涅列斯
la Salut (41.41243, 2.15437) 拉萨卢特
la Font d'en Fargues (41.42461, 2.16526) 拉丰特德恩法尔格斯
la Clota (41.42889, 2.15308) 拉克洛塔
la Teixonera (41.42307, 2.14654) 拉特肖内拉
la Vall d'Hebron (41.43038, 2.1483) 拉瓦尔德埃布龙
la Trinitat Nova (41.45051, 2.18481) 拉特里尼塔特诺瓦
la Guineueta (41.43884, 2.16893) 拉吉内乌塔
les Roquetes (41.44809, 2.17519) 莱斯罗克特斯
Ciutat Meridiana (41.46119, 2.17494) 梅里迪亚纳市
la Trinitat Vella (41.45166, 2.19289) 拉特里尼塔特维利亚
la Verneda i la Pau (41.42399, 2.20304) 拉韦尔内达和拉保
el Turo de la Peira (41.43232, 2.16895) 埃尔图罗德拉佩拉
el Guinardo (41.41885, 2.17364) 埃尔吉纳尔多
Torre Baro (41.4549, 2.17418) 托雷巴罗
Barri de Sant Andreu (41.43693, 2.19022) 圣安德鲁区
Barri de les Corts (41.38697, 2.13472) 莱斯科尔茨区
Almendrales (40.38368, -3.69931) 阿尔门德拉莱斯
Justicia (40.42366, -3.69666) 胡斯蒂西亚
