Soumagne (50.61385, 5.74679) 苏马涅
SintMaria-Latem (50.89014, 3.7064) 圣玛丽亚拉滕
SintMaria-Horebeke (50.83885, 3.68754) 圣玛丽亚霍雷贝克
SintMargriete-Houtem (50.82877, 4.95796) 圣玛格丽特豪特姆
SintMargriete (51.28216, 3.54644) 圣玛格丽特
SintLievens-Houtem (50.9197, 3.86225) 圣利文斯豪特姆
SintLievens-Esse (50.8566, 3.88792) 圣利文斯埃瑟
SintLenaarts (51.34868, 4.68009) 圣莱纳尔茨
SintLaureins (51.24202, 3.52441) 圣劳伦斯
SintLambrechts-Herk (50.89914, 5.30786) 圣兰布雷赫茨赫克
SintKwintens-Lennik (50.80377, 4.15489) 圣昆廷斯伦尼克
SintKruis (51.21399, 3.24949) 圣克鲁伊斯
SintKatelijne-Waver (51.06691, 4.53469) 圣卡特莱恩瓦弗尔
SintJoris-Winge (50.90446, 4.8749) 圣乔里斯温赫
SintJoris-Weert (50.80235, 4.6526) 圣乔里斯韦尔特
SintJoris (50.87117, 5.272) 圣乔里斯
SintJob-in-'t-Goor (51.29907, 4.57289) 圣约布因特戈尔
SintJan-in-Eremo (51.27161, 3.58062) 圣扬因埃雷莫
SintJan (50.86503, 2.90478) 圣扬
SintHuibrechts-Lille (51.22266, 5.49437) 圣于布雷赫茨利勒
SintHuibrechts-Hern (50.82985, 5.4493) 圣于布雷赫茨赫恩
SintGoriks-Oudenhove (50.85278, 3.78612) 圣戈里克斯奥登霍夫
SintGillis-Waas (51.21914, 4.12374) 圣吉利斯瓦斯
SintGenesius-Rode (50.74645, 4.35754) 圣热内修斯罗德
SintEloois-Winkel (50.87591, 3.18144) 圣埃洛伊斯温克尔
SintEloois-Vijve (50.90911, 3.41545) 圣埃洛伊斯维夫
SintDenijs-Westrem (51.02135, 3.67202) 圣德尼韦斯特雷姆
SintDenijs-Boekel (50.8651, 3.71156) 圣德尼布克尔
SintDenijs (50.75198, 3.36627) 圣德尼
SintBlasius-Boekel (50.85232, 3.72239) 圣布拉修斯布克尔
SintBaafs-Vijve (50.9, 3.38333) 圣巴夫斯维夫
SintAntonius (51.26667, 4.63861) 圣安东尼
SintAntelinks (50.84979, 3.92647) 圣安特林克斯
SintAndries (51.19696, 3.17891) 圣安德里斯
SintAmandsberg (51.05947, 3.74943) 圣阿芒兹贝赫
SintAmands (51.05645, 4.20957) 圣阿芒兹
SintAgatha-Rode (50.78597, 4.63099) 圣阿加莎罗德
Sinsin (50.27502, 5.25464) 辛辛
Sinaai (51.15789, 4.04087) 锡纳伊
Silly (50.64877, 3.92363) 锡利
Silenrieux (50.22585, 4.4165) 锡朗里厄
Sijsele (51.20846, 3.31714) 锡塞勒
Sibret (49.97073, 5.63453) 锡布雷
's Herenelderen (50.80882, 5.50067) 斯赫伦埃尔德伦
'sGravenwezel (51.26267, 4.56113) 斯赫拉芬韦泽尔
Serskamp (50.98849, 3.92657) 塞尔斯坎普
Serinchamps (50.23134, 5.23018) 塞兰尚
Seraing (50.58362, 5.50115) 塞兰
Septon (50.3561, 5.42257) 塞普顿
Senzeille (50.17672, 4.46477) 森泽伊
Sensenruth (49.82489, 5.07458) 森森吕特
Seneffe (50.53135, 4.26301) 塞内夫
Semmerzake (50.94369, 3.66318) 塞梅尔扎克
Seloignes (50.01515, 4.25517) 塞卢瓦涅
Selange (49.60929, 5.85055) 塞朗日
Seilles (50.50065, 5.09268) 塞耶勒
Sclayn (50.48979, 5.02831) 斯克兰
Schulen (50.95972, 5.1901) 舒伦
Schuiferskapelle (51.03244, 3.33799) 舒伊弗斯卡佩勒
Schriek (51.02844, 4.69357) 斯赫里克
