Opponitz (47.87776, 14.82283) 奥彭尼茨
Obernberg am Inn (48.32133, 13.33427) 因河畔的奥伯恩贝格
Obermillstatt (46.81389, 13.60194) 奥伯米尔施塔特
Obermieming (47.30851, 10.97435) 奥伯米明
Oberloisdorf (47.44736, 16.50764) 奥伯洛伊斯多夫
Oberlienz (46.84722, 12.73139) 奥伯利恩茨
Oberkurzheim (47.23333, 14.58333) 奥伯库尔茨海姆
Oberkrimml (47.21667, 12.16667) 奥伯克里姆尔
Oberhofen im Inntal (47.29823, 11.08611) 因塔尔的奥伯霍芬
Oberhofen am Irrsee (47.95, 13.3) 伊尔湖畔的奥伯霍芬
Oberhausen (51.47805, 6.8625) 奥伯豪森
Oberhart (48.18464, 14.05497) 奥伯哈特
Oberhaag (46.6869, 15.33202) 奥伯哈格
Obergruenburg (47.95122, 14.25493) 奥伯格伦堡
OberGrafendorf (48.1504, 15.54531) 奥伯格拉芬多夫
Obergaenserndorf (48.41667, 16.36667) 奥伯根瑟恩多夫
Oberfeistritz (47.25, 15.7) 奥伯费斯特里茨
Obere Klaus (47.39206, 13.65003) 上克劳斯
Obere Fellach (46.62899, 13.80904) 上费拉赫
Oberdrauburg (46.74306, 12.97028) 奥伯德劳堡
Oberdorf am Hochegg (46.97861, 15.72167) 霍赫艾格的奥伯多夫
Aurach (47.41223, 12.42734) 奥拉赫
Oberau (47.44336, 12.04891) 奥伯奥
Oberalm (47.7, 13.1) 奥伯阿尔姆
Oberaich (47.4, 15.21667) 奥伯艾希
Obdach (47.06667, 14.68333) 奥布达赫
Nueziders (47.16667, 9.8) 努埃齐德斯
Nussdorf am Attersee (47.88333, 13.51667) 阿特湖畔的努斯多夫
Nussbach (47.97246, 14.16387) 努斯巴赫
Noetsch bei Bleiberg (46.62444, 13.64694) 布莱贝格附近的诺奇
Noetsch (46.58333, 13.61667) 诺奇
Nofels (47.25483, 9.57802) 诺费尔斯
Noechling (48.22433, 14.98123) 诺赫林
Nitscha (47.11667, 15.75) 尼查
Nikolsdorf (46.78583, 12.91333) 尼科尔斯多夫
Niklasdorf (47.38333, 15.15) 尼克拉斯多夫
Nikitsch (47.53615, 16.66017) 尼基奇
Nikelsdorf (46.70583, 13.64639) 尼克尔斯多夫
Niederwoelz (47.15126, 14.37479) 下韦尔茨
Niederwaldkirchen (48.45044, 14.0855) 下瓦尔德基兴
Niederthan (48.18333, 14) 下坦
Niederthalheim (48.09901, 13.7687) 下塔尔海姆
Niederrussbach (48.45, 16.03333) 下鲁斯巴赫
Niederottensheim (48.33919, 14.1855) 下奥滕斯海姆
Niederoeblarn (47.47667, 14.01937) 下厄布拉恩
Niedernsill (47.28333, 12.65) 下恩西尔
Niederneukirchen (48.16093, 14.33965) 下诺伊基兴
Niederndorf (47.65, 12.21667) 下恩多夫
Niederleis (48.55, 16.4) 下莱斯
Niederland (47.66667, 12.73333) 下兰德
Niederkreuzstetten (48.47719, 16.47799) 下克罗伊茨施泰滕
Niederhollabrunn (48.43333, 16.3) 下霍拉布伦
Niederdorf (50.72623, 12.78587) 下多夫
