San GiovanniPatoni (41.77223, 13.2751) - 圣乔瓦尼帕托尼
San Michele e Grato (44.85799, 7.70097) - 圣米凯莱和格拉托
Porzano (45.40125, 10.19624) - 波尔扎诺
Prosto (46.32946, 9.42094) - 普罗斯托
TordiniaVilla Ripa (42.63268, 13.65705) - 托尔迪尼亚里帕别墅
BoscoBelloro (38.1417, 16.12611) - 博斯科贝洛罗
Ponte di Ferro (40.88547, 14.39394) - 铁桥
Paquier (45.87879, 7.62575) - 帕基耶
Villa Salina (44.55446, 11.35183) - 萨利纳别墅
Pallone (42.44545, 12.17422) - 帕隆
Po' Bandino (43.00187, 11.97117) - 波班迪诺
FondacoMargherito (37.86414, 14.8066) - 丰达科马尔盖里托
Basella (45.61393, 9.72866) - 巴塞拉
Bosco Sant'Ippolito (38.13538, 16.14078) - 圣伊波利托森林
Piragineti (39.60972, 16.57398) - 皮拉吉内蒂
Roncadello (44.26684, 12.04581) - 隆卡代洛
Carpeneda (45.64829, 10.46724) - 卡尔佩内达
Stretti (45.63652, 12.68823) - 斯特雷蒂
Gaione (44.75827, 10.29031) - 加约内
Robbiano (45.41842, 9.30977) - 罗比亚诺
Centro Tre Denari (41.91608, 12.19978) - 三第纳里中心
Musil (45.96853, 12.69567) - 穆西尔
Vigonovo di Sopra (45.71647, 12.47199) - 维戈诺沃迪索普拉
Sega (0.25365, 34.22784) - 塞加
MescolinoMinelle (45.95532, 12.36156) - 梅斯科利诺米内莱
Cerrelli (40.52851, 15.10512) - 切雷利
Rovate (45.7104, 8.84568) - 罗瓦特
Tosi (43.74903, 11.53201) - 托西
Villaggio Argentina (43.97271, 12.6755) - 阿根廷村
Rustega (45.56921, 11.97625) - 鲁斯特加
CalnovaFiorentina (45.63732, 12.60927) - 卡尔诺瓦菲奥伦蒂纳
Trevozzo (44.95004, 9.39536) - 特雷沃佐
Retegno (45.14944, 9.69853) - 雷泰尼奥
Calcinate del Pesce (45.81552, 8.763) - 卡尔奇纳泰德尔佩谢
Rifiano (46.70287, 11.18057) - 里菲亚诺
Reno Centese (44.82845, 11.33013) - 雷诺森特塞
San Vitale Grande (44.54752, 11.29122) - 圣维塔莱格兰德
Sant'Anna Avagnina (44.40528, 7.79278) - 圣安娜阿瓦尼纳
Pian di Venola (44.33307, 11.18787) - 维诺拉平原
Colle Monfortani (41.89445, 12.64929) - 蒙福塔尼山
Riesci (40.34554, 18.09329) - 里耶斯奇
Petriccione (42.69816, 13.83856) - 佩特里奇奥内
Bricco Favole (44.65488, 7.8117) - 布里科法沃莱
CafassoBorgo Nuovo (40.43821, 15.01106) - 卡法索新村
Villadosia (45.74952, 8.7277) - 维拉多西亚
