Korokopla (7.88168, -5.96623) 科罗科普拉
KouafoAkidom (8.20469, -2.84851) 库阿福阿基多姆
Ouelekei (8.08312, -2.7458) 乌埃莱凯
PritiAhingro (7.54543, -3.07489) 普里提阿欣格罗
Sepidouo (8.98441, -3.12509) 塞皮杜奥
Kouakoukrakro (7.47385, -3.25097) 库阿库克拉克罗
Diezue (7.9789, -3.88231) 迪耶祖埃
Appimandoum (7.89569, -2.87273) 阿皮曼杜姆
SirikiBango (8.35466, -3.71932) 西里基班戈
Kohodio (8.52223, -2.60714) 科霍迪奥
Akroidokikro (7.31708, -3.13952) 阿克罗伊多基克罗
Poko (7.50075, -2.95995) 波科
Djimpredouo (8.56524, -3.0255) 迪姆普雷杜奥
Tougbo (9.76377, -4.14091) 图格博
N'Zuasse (7.44607, -3.10124) 恩祖阿塞
Dimandougou (8.01204, -3.77288) 迪曼杜古
