Wonsealy (6.17149, -7.03729) 翻译为中文: 翁西利
N'Drikro (7.11274, -3.46636) 翻译为中文: 恩德里克罗
Aboulie (5.45484, -2.92349) 翻译为中文: 阿布利
Ninguie (5.48893, -3.13641) 翻译为中文: 宁圭
Nioupinbeniekro (6.13178, -3.33857) 翻译为中文: 尼乌平贝尼克罗
M'Gbasso (5.44573, -2.88713) 翻译为中文: 姆加索
Aneykro (6.21718, -3.31038) 翻译为中文: 阿内克罗
Tahakro (6.99328, -3.73727) 翻译为中文: 塔哈克罗
Mouyassue (5.36851, -3.09192) 翻译为中文: 穆亚苏埃
Anekouadiokro (6.6415, -3.71434) 翻译为中文: 阿内夸迪奥克罗
Kirifi (6.80645, -3.50866) 翻译为中文: 基里菲
N'Grah (7.07291, -3.41101) 翻译为中文: 恩格拉
N'Gouanda (6.52229, -3.34186) 翻译为中文: 恩古安达
N'Grakon (6.61539, -3.63621) 翻译为中文: 恩格拉孔
Mouassue (5.56185, -2.78815) 翻译为中文: 穆阿苏埃
Alohore (5.26641, -3.43932) 翻译为中文: 阿洛霍雷
Moussakro (6.26237, -3.39208) 翻译为中文: 穆萨克罗
Niamienlessa (5.46312, -2.83663) 翻译为中文: 尼亚米恩莱萨
Akati (6.39852, -3.21473) 翻译为中文: 阿卡蒂
Kotouagnoa (5.21608, -2.89049) 翻译为中文: 科图阿格诺阿
Ehuasso (6.32597, -3.44403) 翻译为中文: 埃胡阿索
Saykro (5.2736, -2.78369) 翻译为中文: 赛克罗
Kossonoukro (6.0107, -3.38927) 翻译为中文: 科索努克罗
Siakakro (6.91244, -3.24469) 翻译为中文: 西阿卡克罗
Affalikro (6.64548, -3.38381) 翻译为中文: 阿法利克罗
Amian (6.46745, -3.64043) 翻译为中文: 阿米安
Djavahana (9.21189, -7.88021) 翻译为中文: 贾瓦哈纳
Tindrima (9.04772, -7.55896) 翻译为中文: 廷德里马
Sanzanou (10.34497, -7.67944) 翻译为中文: 桑扎努
Touroudio (10.22952, -7.16178) 翻译为中文: 图鲁迪奥
Gbaga (9.71741, -7.55224) 翻译为中文: 格巴加
Kogona (9.61884, -7.91998) 翻译为中文: 科戈纳
SanogobraMafele (9.85677, -7.69198) 翻译为中文: 萨诺戈布拉马费勒
Nafanasienso (9.26021, -7.43569) 翻译为中文: 纳法纳西恩索
Zangohoba (9.30196, -7.20137) 翻译为中文: 桑戈霍巴
Sanaba (9.61241, -6.96927) 翻译为中文: 萨纳巴
Lingoho (9.45512, -7.25409) 翻译为中文: 林戈霍
Kouroulingue (10.16938, -7.29117) 翻译为中文: 库鲁林格
Baboue (5.89159, -5.83222) 翻译为中文: 巴布埃
Djidjiri (5.82481, -5.6216) 翻译为中文: 吉吉里
Atonihio (6.08915, -6.01006) 翻译为中文: 阿托尼希奥
Gagoue (5.67032, -5.76317) 翻译为中文: 加古埃
Divripo (5.70713, -5.02467) 翻译为中文: 迪夫里波
BarocoManois (5.71872, -5.24164) 翻译为中文: 巴罗科马诺伊斯
Gouan (5.77841, -5.33447) 翻译为中文: 古安
Mbazo (6.02275, -5.35991) 翻译为中文: 姆巴佐
Soubrelilie (6.00475, -5.43217) 翻译为中文: 苏布雷利利
Loukoukro (6.4112, -5.36869) 翻译为中文: 卢库克罗
Godiabre (6.09696, -5.88549) 翻译为中文: 戈迪亚布雷
Djedjedigbeupa (6.20971, -5.86734) 翻译为中文: 杰杰迪格布帕
Gaougnagbolilie (5.884, -5.84769) 翻译为中文: 加乌格纳博利利
