Kerestinec (45.7701, 15.80864) 克雷斯蒂内茨
Javorje (45.86019, 15.76444) 亚沃尔耶
Jastrebarsko (45.66833, 15.64861) 亚斯特雷巴尔斯科
Jasenovac (45.27167, 16.91167) 亚塞诺瓦茨
Jaruge (45.11583, 18.42028) 亚鲁格
Jarmina (45.31806, 18.72917) 亚尔米纳
Janjina (42.92528, 17.42833) 亚尼纳
Jalzabet (46.26083, 16.475) 亚尔扎贝特
Jalkovec (46.28083, 16.31972) 亚尔科韦茨
Jaksic (45.35806, 17.76389) 亚克西奇
Jakovlje (45.93611, 15.85559) 亚科夫列
Jagodno (45.7048, 16.14037) 亚戈德诺
Jagodnjak (45.69917, 18.57694) 亚戈德尼亚克
Jadreski (44.86889, 13.91611) 亚德雷斯基
Jadranovo (45.23111, 14.61833) 亚德拉诺沃
Jablanovec (45.87583, 15.85361) 亚布拉诺韦茨
Ivanska (45.77889, 16.81194) 伊万斯卡
Ivanovec (46.36833, 16.47667) 伊瓦诺韦茨
Ivanovci Gorjanski (45.36603, 18.4173) 伊瓦诺夫齐戈尔扬斯基
Ivankovo (45.28861, 18.68389) 伊万科沃
Ivanja Reka (45.80222, 16.11889) 伊万亚雷卡
IvanicGrad (45.70833, 16.39694) 伊瓦尼奇格拉德
Ivanec Bistranski (45.84694, 15.83139) 伊瓦内茨比斯特兰斯基
Ivanec (46.22306, 16.12) 伊瓦内茨
Imotski (43.44667, 17.21667) 伊莫茨基
Ilova (45.27771, 22.34151) 伊洛瓦
Ilok (45.22222, 19.37694) 伊洛克
Ilaca (45.18139, 19.09583) 伊拉察
Igrisce (45.96183, 15.87739) 伊格里什切
Icici (45.30722, 14.28) 伊奇奇
Hvar (43.1725, 16.44278) 赫瓦尔
Husain (45.47417, 16.81306) 胡赛因
Hum na Sutli (46.21139, 15.69083) 胡姆纳苏特利
Breznicki Hum (46.10722, 16.27667) 布雷兹尼茨基胡姆
Hrzenica (46.29861, 16.57444) 赫尔泽尼察
Hrvatski Leskovac (45.74327, 15.88975) 赫尔瓦茨基莱斯科瓦茨
Hrvace (43.76333, 16.615) 赫尔瓦采
Hreljin (45.2825, 14.59917) 赫雷利恩
Hrastovsko (46.24917, 16.58444) 赫拉斯托夫斯科
Hrascina (46.11061, 16.22698) 赫拉什奇纳
Hrasce Turopoljsko (45.73042, 16.00518) 赫拉什切图罗波利斯科
Horvati (45.7, 15.81667) 霍尔瓦蒂
Hodosan (46.39528, 16.64389) 霍多桑
Hlebine (46.15694, 16.96278) 赫莱比内
Hlapicina (46.52083, 16.40056) 赫拉皮奇纳
Heresin (46.17972, 16.86833) 赫雷辛
Hercegovac (45.65861, 17.01361) 赫尔采戈瓦茨
Gunja (44.88766, 18.82575) 古尼亚
Gundinci (45.15833, 18.49139) 冈丁齐
Gudovac (45.88028, 16.78083) 古多瓦茨
Gruda (42.51778, 18.37444) 格鲁达
Grubisno Polje (45.70214, 17.17268) 格鲁比什诺波列
Groznjan (45.37889, 13.72389) 格罗兹尼扬
Grohote (43.39167, 16.28722) 格罗霍特
Grizane (45.20083, 14.72167) 格里扎内
Greda Marusevecka (46.27639, 16.20861) 格雷达马鲁舍韦茨卡
Greda (43.61528, 16.69361) 格雷达
Grebastica (43.636, 15.96522) 格雷巴斯蒂察
Gradiste (45.14806, 18.70667) 格拉迪什特
Gradici (45.70517, 16.03867) 格拉迪奇
Gradec (41.89696, 20.90398) 格拉代茨
Gradac (43.10583, 17.34167) 格拉达茨
Gracisce (45.21889, 14.01056) 格拉奇什切
Gracec (45.83333, 16.31667) 格拉采茨
Gracac (44.29916, 15.84752) 格拉察茨
