Chervona Dibrova (48.13333, 25.93333) 红色迪布罗瓦
KamyankaDniprovska (47.49629, 34.41026) 卡缅卡德尼普罗夫斯卡
Kamyanka (49.03955, 32.10174) 卡缅卡
Kam'yanka (45.56386, 28.88191) 卡缅卡
Kamianytsia (48.69343, 22.3957) 卡缅尼齐亚
Kalush (49.02398, 24.37206) 卡卢什
Kaluha (47.36354, 32.94101) 卡卢哈
Kalyny (48.14403, 23.87386) 卡利尼
Kalinovka (45.31658, 35.74643) 卡利诺夫卡
Kalynivske (47.11684, 32.97565) 卡利尼夫斯克
Kalynove (49.38036, 30.44139) 卡利诺韦
Kalinino (45.74262, 33.77676) 卡利尼诺
Kalnivtsi (48.34105, 25.58232) 卡尔尼夫齐
Kalcheva (45.73609, 28.80772) 卡尔切瓦
Kalantaivka (46.72077, 30.28282) 卡兰塔伊夫卡
Kalanchak (46.25495, 33.29061) 卡兰恰克
Mirnoye (44.9833, 34.0616) 米尔诺耶
Kakhovka (46.81601, 33.47862) 卡霍夫卡
Kairy (46.94611, 33.70519) 卡伊里
Kayiry (46.93842, 30.9682) 卡伊里
Kaharlyk (49.859, 30.82327) 卡哈尔雷克
Kadubivtsi (48.58046, 25.77021) 卡杜比夫齐
Kachurivka (47.62607, 29.78277) 卡楚里夫卡
Kacha (44.77635, 33.54387) 卡恰
Yaseny (48.27599, 25.66881) 亚瑟尼
Izyumovka (45.04437, 35.13717) 伊久莫夫卡
Izium (49.20697, 37.27679) 伊久姆
Iziaslav (50.11978, 26.82475) 伊贾斯拉夫
Izvaryne (48.28696, 39.89428) 伊兹瓦里内
Izobil'noye (44.70276, 34.35357) 伊佐比利诺耶
Izmail (45.35058, 28.83751) 伊兹梅尔
Yizhivtsi (48.02526, 25.64626) 伊日夫齐
Ivashkiv (48.1259, 29.20448) 伊瓦什基夫
Ivanivtsi (48.48851, 27.03363) 伊万尼夫齐
Skosarivka (47.44407, 30.52626) 斯科萨里夫卡
IvanoKepyne (47.04179, 32.85313) 伊万诺凯皮内
Ivanopil (49.8606, 28.21561) 伊万诺皮尔
