Katy Opolskie (50.55925, 17.97449) - 卡蒂奥波尔斯基
Izbicko (50.57163, 18.15585) - 伊兹比茨科
Izbica Kujawska (52.42073, 18.7627) - 伊兹比察库亚夫斯卡
Iwanowice (50.22612, 19.96147) - 伊瓦诺维采
Istebna (49.56319, 18.90567) - 伊斯特布纳
Iskrzyczyn (49.79606, 18.74396) - 伊斯克日钦
Irzadze (50.62676, 19.68484) - 伊尔扎泽
Inwald (49.86355, 19.39276) - 因瓦尔德
Insko (53.43613, 15.5502) - 因斯科
Inowroclaw (52.79886, 18.26387) - 伊诺夫罗茨瓦夫
Imielin (50.14534, 19.18599) - 伊米林
Ilowa (51.5006, 15.1998) - 伊沃瓦
Ilawa (53.59601, 19.56849) - 伊瓦瓦
Idzikowice (51.14635, 17.69468) - 伊齐科维采
Huta Stara B (50.73792, 19.13295) - 胡塔斯塔拉B
Herby (50.75318, 18.88756) - 赫尔比
Henrykow (50.65327, 17.01027) - 亨里科夫
Hel (54.60384, 18.80351) - 赫尔
Hazlach (49.80714, 18.65178) - 哈兹拉赫
Harmeze (50.02114, 19.16222) - 哈尔梅泽
Harkabuz (49.53824, 19.83556) - 哈尔卡布兹
Harbutowice (49.81235, 19.78045) - 哈尔布托维采
Gorki Slaskie (50.14149, 18.38768) - 戈尔基斯拉斯基
Gubin (51.94956, 14.72837) - 古宾
Grzmiaca (53.83734, 16.43512) - 格日米亚察
Grzegorzki (50.06423, 19.96761) - 格热戈日基
