Cerise (48.45, 0.13333) - 樱桃
Caulnes (48.28893, -2.15444) - 科尔内
Cauge (49.02448, 1.03378) - 科热
Cauffry (49.31978, 2.44581) - 科夫里
Caudry (50.1249, 3.41186) - 科德里
Caudrot (44.57739, -0.14385) - 科德罗
Caudecoste (44.11641, 0.73682) - 科德科斯特
Caudebecles-Elbeuf (49.28082, 1.02195) - 埃尔伯夫的科德贝克
Caudebecen-Caux (49.52577, 0.72561) - 科的科德贝克
Caudan (47.80995, -3.34255) - 科丹
Cauchya-la-Tour (50.50394, 2.44606) - 拉图尔的科希
Catus (44.55633, 1.33639) - 卡图斯
Cattenom (49.40627, 6.24297) - 卡特农
Cattenieres (50.13459, 3.3345) - 卡特涅尔
Catllar (42.63415, 2.42176) - 卡特拉
Catillonsur-Sambre (50.07329, 3.64254) - 桑布尔河畔卡蒂永
CatillonFumechon (49.51667, 2.36667) - 富梅雄的卡蒂永
Catenoy (49.36824, 2.51054) - 卡特诺伊
Catenay (49.51295, 1.32782) - 卡特奈
Castries (13.9957, -61.00614) - 卡斯特里
CastresGironde (44.69675, -0.44487) - 吉伦特的卡斯特尔
Castres (43.60527, 2.24088) - 卡斯特尔
Castillonnes (44.65254, 0.59171) - 卡斯蒂永内
Castillonla-Bataille (44.85308, -0.04506) - 巴塔耶的卡斯蒂永
Castillondu-Gard (43.96991, 4.55445) - 加尔的卡斯蒂永
Castetsen-Dorthe (44.56171, -0.15293) - 多尔特的卡斯泰
Castets (43.88258, -1.14741) - 卡斯泰
Castetis (43.46906, -0.71385) - 卡斯泰蒂斯
