Okoneshnikovo (54.83767, 75.08343) 奥科涅什尼科沃
Mezhdurechenskiy (59.6, 65.93333) 梅日杜列琴斯基
Mel'nikovo (56.55687, 84.0814) 梅利尼科沃
Melioratorov (57.21065, 65.60774) 梅利奥拉托罗夫
Megion (61.03429, 76.10683) 梅吉翁
Mayma (52.01577, 85.90963) 迈马
Maslyanino (54.34361, 84.21111) 马斯利亚尼诺
Mar'yanovka (54.96102, 72.64415) 马里亚诺夫卡
Martyush (56.4, 61.88194) 马尔秋什
Martynovo (53.26667, 85.88333) 马尔蒂诺沃
Manzya (58.49222, 96.26167) 曼兹亚
Manzherok (51.83028, 85.775) 曼热罗克
Mamontovo (52.7055, 81.6244) 马蒙托沃
Malysheva (57.11851, 61.40345) 马雷舍娃
Malougrenevo (52.5568, 85.33908) 马洛乌格列涅沃
Malinovoye Ozero (51.67528, 79.7825) 马利诺沃耶湖
Lyubinskiy (55.15421, 72.69247) 柳宾斯基
Lugovskoy (56.95849, 64.52897) 卢戈夫斯科伊
Losinyy (57.13862, 61.06663) 洛西内
Lokosovo (61.13333, 74.81667) 洛科索沃
Lobva (59.18538, 60.51846) 洛布瓦
Listvyanskiy (54.4399, 83.4984) 利斯特维扬斯基
Listvyagi (53.6772, 86.951) 利斯特维亚吉
Lesosibirsk (58.23544, 92.48351) 列索西比尔斯克
Lesnikovo (55.28222, 65.3175) 列斯尼科沃
LeninskKuznetsky (54.6567, 86.1737) 列宁斯克库兹涅茨基
Labytnangi (66.65722, 66.41833) 拉比坦吉
Laborovaya (67.64046, 67.5515) 拉博罗瓦亚
KyzylMazhalyk (51.14594, 90.5808) 克孜勒马扎雷克
KyzylKhaya (50.04986, 89.87821) 克孜勒哈亚
