Grojdibodu (43.75, 24.26667) - 格罗伊迪博杜
Gornesti (46.67129, 24.64757) - 戈尔内什蒂
Gornea (44.68062, 21.85673) - 戈尔内亚
Gornacel (45.17309, 23.348) - 戈尔纳切尔
Gorgota (44.78333, 26.08333) - 戈尔戈塔
Gorganu (44.84241, 25.03838) - 戈尔加努
Goreni (46.85474, 24.65569) - 戈雷尼
Gorneni (44.28183, 25.86494) - 戈尔内尼
Gorbanesti (47.78333, 26.85) - 戈尔巴内什蒂
Gorban (46.87611, 28.07889) - 戈尔班
Goranu (45.10523, 24.38431) - 戈拉努
Golumbu (44.63378, 23.75411) - 戈隆布
Gologanu (45.60979, 27.27091) - 戈洛加努
Golfin (44.29088, 24.02095) - 戈尔芬
Golet (45.28339, 22.25666) - 戈莱特
Golesti (45.66667, 27.16533) - 戈莱什蒂
Golenti (44.0129, 23.05666) - 戈伦蒂
Goleasca (44.35682, 25.59044) - 戈莱阿斯卡
Golaiesti (47.23333, 27.7) - 戈莱耶什蒂
Goioasa (46.44723, 26.29806) - 戈约阿萨
Goicea (43.91667, 23.61667) - 戈伊恰
Gohor (46.06667, 27.4) - 戈霍尔
Gogosu (44.37389, 22.59306) - 戈戈苏
Gogosari (43.86667, 25.7) - 戈戈萨里
Gogan (46.30492, 24.51712) - 戈甘
Goga (44.88653, 26.14145) - 戈加
Goesti (47.15654, 27.13659) - 戈埃什蒂
Goiesti (44.48333, 23.76667) - 戈伊埃什蒂
Godinesti (45, 22.96667) - 戈迪内什蒂
Godeni (45.23333, 24.98333) - 戈德尼
Godeanu (44.80111, 22.60861) - 戈德亚努
Goanta (44.23334, 22.96231) - 戈安塔
Goagiu (46.36527, 25.0303) - 戈阿久
Glogoveanu (44.48478, 25.34612) - 格洛戈韦亚努
Glogova (44.92806, 22.90667) - 格洛戈瓦
Glodenii Gandului (46.95158, 27.29938) - 格洛德尼-甘杜鲁伊
GlodeanuSilistea (44.83333, 26.8) - 格洛德亚努西利什泰亚
GlodeanuSarat (44.86667, 26.65) - 格洛德亚努萨拉特
Glod (45.24163, 25.44994) - 格洛德
Globu Craiovei (44.9952, 22.27097) - 格洛布克拉约韦伊
Glambocu (44.89368, 24.79255) - 格兰博库
Glambocelu (44.83976, 25.13985) - 格兰博切卢
GlambocataDeal (44.78222, 25.17776) - 格兰博卡塔德尔
Glimboca (45.48333, 22.31667) - 格林博卡
Gligoresti (46.44826, 23.97639) - 格利戈雷什蒂
Gliganu de Sus (44.65769, 25.00329) - 格利加努-德-苏斯
Gliganu de Jos (44.65777, 25.03609) - 格利加努-德-若斯
Gledin (46.95985, 24.7095) - 格莱丁
Glavanesti (46.25, 27.38333) - 格拉瓦内什蒂
Giuvarasti (43.8, 24.7) - 吉乌瓦拉什蒂
Giurtelecu Simleului (47.2968, 22.79557) - 吉乌尔特莱库-希姆勒乌伊
Giurtelecu Hododului (47.41655, 23.09295) - 吉乌尔特莱库-霍多杜鲁伊
Giurgiu (43.88664, 25.9627) - 久尔久
Giurgita (44.01667, 23.63333) - 久尔吉塔
Giurgesti (47.50381, 26.42305) - 久尔杰什蒂
Giurgeni (44.744, 27.855) - 久尔杰尼
Giurcani (46.28285, 27.98184) - 久尔卡尼
Giulvaz (45.54889, 20.98444) - 久尔瓦兹
Giulesti (47.81667, 23.93333) - 久列什蒂
