Pian di Sco (43.64195, 11.54523) 平迪斯科
Pescopennataro (41.87777, 14.29398) 佩斯科佩纳塔罗
Pescopagano (40.83494, 15.39946) 佩斯科帕加诺
Pescolanciano (41.67972, 14.33658) 佩斯科兰恰诺
Pescocostanzo (41.88722, 14.06614) 佩斯科科斯坦佐
Pescina (42.02351, 13.65116) 佩西纳
Pescia Romana (42.39963, 11.49651) 佩夏罗马纳
Pescia (43.8871, 10.68849) 佩夏
Peschiera del Garda (45.43912, 10.68614) 佩斯基耶拉德尔加尔达
BettolaZeloforomagno (45.4308, 9.3087) 贝托拉泽洛福罗马尼奥
Peschici (41.94521, 16.01612) 佩斯基奇
Pescasseroli (41.80343, 13.78707) 佩斯卡塞罗利
Pescarolo (45.19387, 10.18647) 佩斯卡罗洛
Pescara (42.4584, 14.20283) 佩斯卡拉
Pescantina (45.48548, 10.86796) 佩斯坎蒂纳
Pescaglia (43.96517, 10.41292) 佩斯卡利亚
Pesaro (43.90921, 12.9164) 佩萨罗
Perugia (43.1122, 12.38878) 佩鲁贾
Pertosa (40.54346, 15.45009) 佩尔托萨
Perticara (43.9057, 12.24159) 佩尔蒂卡拉
Pertengo (45.23606, 8.41651) 佩尔滕戈
TorrerattiPersi (44.73333, 8.96667) 托雷拉蒂佩尔西
Perrero (44.93849, 7.11263) 佩雷罗
Perosa Argentina (44.95909, 7.19167) 佩罗萨阿根廷
Pernumia (45.25899, 11.78721) 佩尔努米亚
Pernate (45.45958, 8.67845) 佩尔纳特
Perito (40.29854, 15.14746) 佩里托
Perinaldo (43.86689, 7.67194) 佩里纳尔多
Pergola (43.55485, 12.83633) 佩尔戈拉
Pergine Valsugana (46.06434, 11.23758) 佩尔吉内瓦尔苏加纳
Pergine Valdarno (43.47028, 11.68552) 佩尔吉内瓦尔达诺
Perfugas (40.83231, 8.88354) 佩尔富加斯
Pereto (42.05821, 13.10231) 佩雷托
Perdifumo (40.26694, 15.01652) 佩尔迪富莫
Percoto (45.97471, 13.32304) 佩尔科托
Percile (42.09497, 12.91048) 佩尔奇莱
Perca (46.79343, 11.98339) 佩尔卡
Perarolo di Cadore (46.39383, 12.35636) 佩拉罗洛迪卡多雷
Perano (42.1046, 14.39581) 佩拉诺
Penna Sant'Andrea (42.59403, 13.77215) 佩纳圣安德烈亚
Penna San Giovanni (43.05608, 13.42539) 佩纳圣乔瓦尼
Pennapiedimonte (42.15563, 14.19432) 佩纳皮耶迪蒙特
Penna in Teverina (42.49342, 12.35845) 佩纳因特韦里纳
Pennadomo (42.00394, 14.32338) 佩纳多莫
Pennabilli (43.81746, 12.26708) 佩纳比利
Penna (43.56689, 11.61036) 佩纳
AlbaPenia (46.45779, 11.79743) 阿尔巴佩尼亚
Pellizzano (46.3098, 10.7579) 佩利扎诺
Pellezzano (40.72521, 14.75744) 佩莱扎诺
Pellestrina (45.27716, 12.30238) 佩莱斯特里纳
Pellegrino Parmense (44.7295, 9.9324) 佩莱格里诺帕尔门塞
Pellegrina (45.22852, 11.01964) 佩莱格里纳
Pelago (43.77255, 11.50148) 佩拉戈
Pegolotte (45.19178, 12.03791) 佩戈洛特
Pegola (44.69071, 11.50025) 佩戈拉
Pegognaga (44.99456, 10.85967) 佩戈尼亚加
Peglio (43.69646, 12.49785) 佩利奥
Pedesina (46.08189, 9.54944) 佩德西纳
Pederobba (45.87567, 11.94977) 佩德罗巴
Pedavena (46.03951, 11.8831) 佩达韦纳
Pedaso (43.09839, 13.84083) 佩达索
Pecorara (44.87582, 9.38387) 佩科拉拉
Pecetto di Valenza (44.98904, 8.66996) 佩切托迪瓦伦扎
Pecetto (45.0176, 7.75107) 佩切托
