Petrodolynske (46.43382, 30.40377) - 佩特罗多林斯克
Ostrytsya (48.25792, 26.05186) - 奥斯特里察
Kholodovka (45.05249, 34.99294) - 霍洛多夫卡
Yosypivka (46.407, 30.43552) - 约瑟皮夫卡
Osypenko (46.91842, 36.82414) - 奥西片科
Osynivka (47.33838, 30.22433) - 奥西尼夫卡
Osychky (48.13289, 30.02816) - 奥西奇基
Oshykhliby (48.42337, 25.70484) - 奥什赫利比
Oselivka (48.43992, 26.61836) - 奥塞利夫卡
Orzhytsya (49.78949, 32.69794) - 奥尔日察
Orzhiv (50.8, 26.12) - 奥尔日夫
Orlianka (45.23711, 33.56524) - 奥尔良卡
Orlovskoye (45.8107, 33.97308) - 奥尔洛夫斯科耶
Orlivka (45.31659, 28.44046) - 奥尔利夫卡
Orlinoye (44.44685, 33.77588) - 奥尔利诺耶
Orikhivka (45.80679, 28.90336) - 奥里希夫卡
Orikhiv (47.57613, 35.78333) - 奥里希夫
Oreanda (44.45646, 34.13757) - 奥雷安达
Armashivka (47.24909, 30.19623) - 阿尔马希夫卡
Ordzhonikidze (44.96401, 35.35576) - 奥尔忠尼基泽
Orativ (49.18594, 29.52889) - 奥拉蒂夫
Oprysheny (48.05334, 26.02699) - 奥普里申尼
Opishnya (49.95948, 34.60634) - 奥皮什尼亚
Onut (48.5667, 26.0538) - 奥努特
Onufriyivka (48.89917, 33.44954) - 奥努夫里伊夫卡
Onokivtsi (48.65763, 22.34183) - 奥诺基夫齐
Onyskove (46.92205, 30.82531) - 奥尼斯科韦
Onylove (47.45326, 29.89256) - 奥尼洛韦
Olyka (50.71855, 25.81251) - 奥利卡
Olshanske (47.1724, 31.76498) - 奥尔尚斯克
Vilshanka (48.23421, 30.87285) - 维尔尚卡
Vilshana (49.21708, 31.2177) - 维尔沙纳
Vilkhuvatka (50.18613, 37.51946) - 维尔胡瓦特卡
Olyshivka (51.22266, 31.33314) - 奥利希夫卡
Olhopil (47.72746, 32.13671) - 奥尔霍皮尔
