Collalto Sabino (42.13522, 13.04841) 科拉尔托萨比诺
Cisterna d'Asti (44.82525, 8.00076) 奇斯泰尔纳达斯蒂
Cisterna (46.08567, 12.98819) 奇斯泰尔纳
Cison di Valmarino (45.96694, 12.14267) 奇松迪瓦尔马里诺
Cismon del Grappa (45.92026, 11.72816) 奇斯蒙德尔格拉帕
Cisliano (45.44371, 8.98695) 奇斯利亚诺
Cislago (45.65928, 8.97272) 奇斯拉戈
Ciserano (45.58792, 9.60115) 奇塞拉诺
Cisano (44.08565, 8.14829) 奇萨诺
Cisano Bergamasco (45.742, 9.47146) 奇萨诺贝尔加马斯科
Cirimido (45.69978, 9.01254) 奇里米多
Cirigliano (40.39376, 16.17194) 奇里利亚诺
Cirie (45.23486, 7.60125) 奇里埃
Cireglio (43.99236, 10.85514) 奇雷利奥
Circello (41.35455, 14.8091) 奇尔切洛
Cipressa (43.85205, 7.93144) 奇普雷萨
Ciorlano (41.45022, 14.15832) 奇奥尔拉诺
Cinzano (44.69307, 7.92103) 金扎诺
Cinto Caomaggiore (45.82758, 12.78126) 金托卡奥马焦雷
Cinte Tesino (46.05726, 11.61435) 金特泰西诺
Cintano (45.42812, 7.68827) 金塔诺
Cinisello Balsamo (45.55823, 9.21495) 奇尼塞洛巴尔萨莫
Cinigiano (42.89059, 11.39196) 奇尼贾诺
Cingoli (43.37573, 13.20787) 金戈利
Cingia de' Botti (45.08507, 10.27548) 金贾德博蒂
Cineto Romano (42.05014, 12.9608) 奇内托罗马诺
Cimolais (46.289, 12.43792) 奇莫莱斯
Cimitile (40.94231, 14.52558) 奇米蒂莱
Cimego (45.9119, 10.61337) 奇梅戈
Cimbergo (46.0241, 10.36566) 奇姆贝尔戈
Cimadolmo (45.78524, 12.3651) 奇马多尔莫
Cilavegna (45.31067, 8.74469) 奇拉韦尼亚
Cigole (45.3076, 10.18977) 奇戈莱
Cignone (45.26887, 9.98495) 奇尼奥内
Cignano (45.37214, 10.10472) 奇尼亚诺
Cigliano (45.30804, 8.02316) 奇利亚诺
