Colonia Boa Vista (-3.29688, -60.44086) 科洛尼亚博阿维斯塔
Taquarussu (-22.48778, -53.35139) 塔夸鲁苏
Teixeira de Freitas (-17.535, -39.74194) 特谢拉·德·弗雷塔斯
Xinguara (-7.09829, -49.9435) 辛瓜拉
Barra da Tijuca (-22.99835, -43.36545) 巴拉达蒂茹卡
Tatuape (-23.53729, -46.5666) 塔图阿佩
Consolacao (-23.55242, -46.65735) 康索拉桑
Rocinha (-22.98887, -43.24934) 罗西尼亚
Pirituba (-23.48982, -46.7322) 皮里图巴
Limao (-23.49283, -46.66916) 利芒
Vila Galvao (-23.4717, -46.57923) 维拉加尔旺
Jardim Paulista (-23.56675, -46.66439) 保利斯塔花园
Dona Emma (-26.98664, -49.72262) 多娜艾玛
Vitor Meireles (-26.88217, -49.83486) 维托尔·梅雷莱斯
Itacorubi (-27.58315, -48.49503) 伊塔科鲁比
Corrego Grande (-27.60141, -48.50593) 大溪
Santa Monica (34.01949, -118.49138) 圣莫尼卡
Carvoeira (-27.59898, -48.52618) 卡尔沃埃拉
Morro da Cruz (-27.5849, -48.53562) 克鲁兹山
Saco dos Limoes (-27.60864, -48.53605) 莱蒙斯湾
Pantanal (-27.60985, -48.51648) 潘塔纳尔
Carianos (-27.66088, -48.54318) 卡里亚诺斯
Tapera (-27.68528, -48.55124) 塔佩拉
Acores (-27.78146, -48.52653) 亚速尔
Sao Manoel do Parana (-23.39567, -52.64664) 巴拉那的圣曼努埃尔
Paco do Lumiar (-2.51894, -44.10852) 帕科杜卢米亚尔
Sooretama (-19.19079, -40.103) 索雷塔马
Teotonio Vilela (-9.90971, -36.35611) 特奥托尼奥·维莱拉
Sigefredo Pacheco (-4.91408, -41.73194) 西格弗雷多·帕切科
Julio Borges (-10.32739, -44.23939) 胡里奥·博尔赫斯
Dirceu Arcoverde (-9.34251, -42.43425) 迪尔塞乌·阿尔科维尔德
Nova Redencao (-12.81715, -41.07077) 新雷登桑
Mirassol d'Oeste (-15.67572, -58.09021) 西部米拉索尔
Uniao de Minas (-19.5288, -50.3342) 米纳斯联盟
Gouvelandia (-18.44011, -50.13504) 古维兰迪亚
Figueirao (-18.67863, -53.63794) 菲盖朗
Urupa (-11.12607, -62.37209) 乌鲁帕
Brasilandia de Minas (-17.01037, -46.00851) 米纳斯的巴西兰迪亚
Agua Fria de Goias (-14.97935, -47.78232) 戈亚斯的阿瓜弗里亚
Montividiu do Norte (-13.34922, -48.68817) 北部蒙蒂维迪乌
Novo Santo Antonio (-12.29126, -50.96819) 新圣安东尼奥
Ministro Andreazza (-11.19759, -61.51723) 安德烈亚扎部长
Castanheiras (-11.4267, -61.94899) 卡斯塔涅拉斯
Garrafao do Norte (-1.93005, -47.04815) 北部加拉法奥
Sao Joao do Itaperiu (-26.61888, -48.76754) 伊塔佩里乌的圣若昂
Nova Colinas (-7.11968, -46.2604) 新科利纳斯
Babaculandia (-7.19759, -47.76734) 巴巴库兰迪亚
Pontal do Araguaia (-15.90737, -52.25696) 阿拉瓜亚的蓬塔尔
Vila Santa Maria (-2.38021, -56.98966) 圣玛丽亚村
Brasil Novo (-3.30708, -52.53863) 新巴西
Atins (-2.57017, -42.74229) 阿廷斯
Beira Rio (-12.25438, -42.75529) 贝拉里奥
Butia Inferior (-28.07115, -54.88533) 下布蒂亚
Itaim Bibi (-23.58581, -46.68241) 伊塔因比比
Moema (-23.59521, -46.66449) 莫埃马
Ciceroandia (-7.25139, -34.98333) 西塞罗安迪亚
Artur Alvim (-23.54015, -46.48581) 阿图尔·阿尔维姆
Anhanguera (-23.43088, -46.79295) 安汉瓜拉
Cidade Dutra (-23.72576, -46.7024) 杜特拉城
Capao Redondo (-23.66877, -46.78051) 卡帕昂雷东多
Casa Verde (-23.50099, -46.65744) 卡萨维尔德
Sao Lucas (-23.59468, -46.54359) 圣卢卡斯
Rio Pequeno (-23.57139, -46.75887) 小河
Carrao (-23.55108, -46.53829) 卡朗
