Porumbacu de Sus (45.71457, 24.47267) 波伦巴库德苏斯
Poiana Largului (47.09519, 25.9783) 波亚纳拉尔古鲁伊
Poiana Lacului (44.81667, 24.73333) 波亚纳拉库鲁伊
Poiana Ilvei (47.35749, 24.74104) 波亚纳伊尔韦伊
Poiana Cristei (45.65, 26.98333) 波亚纳克里斯泰伊
Poiana Cracaoani (47.06667, 26.31667) 波亚纳克拉考阿尼
Poiana Copaceni (45.16392, 26.06918) 波亚纳科帕切尼
Poiana Codrului (47.62667, 23.25056) 波亚纳科德鲁鲁伊
Poiana Campina (45.127, 25.711) 波亚纳坎皮纳
Poiana Blenchii (47.3, 23.75) 波亚纳布伦基
Poiana Aiudului (46.36499, 23.606) 波亚纳艾尤杜鲁伊
Poiana (44.56667, 25.68333) 波亚纳
Poian (46.06667, 26.15) 波扬
Pogonesti (46.15229, 27.53225) 波戈内什蒂
Pogonele (45.08645, 26.86454) 波戈内莱
Pogoanele (44.91667, 27) 波戈阿内莱
Poganu (44.66083, 24.31858) 波加努
Pogana (46.31667, 27.56667) 波加纳
Pogaceaua (46.68333, 24.3) 波加乔阿
Poienita (45.11175, 24.92788) 波耶尼察
PoieniSolca (47.68626, 25.89374) 波耶尼索尔卡
Poieni (46.83333, 26.35) 波耶尼
Poeni (44.4, 25.33333) 波埃尼
PoienariiRali (44.75, 26.03333) 波耶纳里拉利
Poienarii Apostoli (44.77204, 26.05388) 波耶纳里阿波斯托利
Poienarii Burchii (44.75, 26.01667) 波耶纳里布尔基
Poenari (44.47048, 25.7709) 波耶纳里
Podu Turcului (46.2, 27.38333) 波杜图尔库鲁伊
Podu Rizii (44.70709, 25.58314) 波杜里齐伊
Poduri (46.46667, 26.53333) 波杜里
Podu Pitarului (44.34048, 26.37889) 波杜皮塔鲁伊
Podu Oltului (45.76038, 25.72322) 波杜奥尔图鲁伊
Podu Lung (45.2349, 25.64701) 波杜隆格
Podu Lacului (45.64344, 26.98977) 波杜拉库鲁伊
Podu Iloaiei (47.21667, 27.26667) 波杜伊洛艾伊
Podu Hagiului (46.86112, 28.07849) 波杜哈久鲁伊
Podu Doamnei (44.3081, 25.74547) 波杜多阿姆内伊
Podu Brosteni (44.74302, 24.85714) 波杜布罗什泰尼
Podriga (48.00531, 26.83449) 波德里加
Podolenii de Sus (46.85716, 28.01545) 波多莱尼德苏斯
Podoleni (46.8, 26.61667) 波多莱尼
Podisor (44.39035, 25.7143) 波迪索尔
Podgoria (45.418, 27.03) 波德戈里亚
Podenii Vechi (45.08939, 26.11584) 波德尼维基
Podenii Noi (45.11667, 26.16667) 波德尼诺伊
Podei (46.4093, 26.44307) 波代
Podeni (44.88139, 22.54333) 波德尼
Podari (44.25, 23.78333) 波达里
Pocruia (45.0447, 22.92495) 波克鲁亚
Pocreaca (46.96346, 27.78479) 波克雷亚卡
Pocola (35.23121, -94.478) 波科拉
Pociovalistea (45.15315, 23.64392) 波乔瓦利什泰亚
Pochidia (46.04318, 27.58746) 波奇迪亚
Poboru (44.66667, 24.5) 波博鲁
Poarta Alba (44.21667, 28.4) 波阿尔塔阿尔巴
